'Shimon Edelman', 'Nathan Intrator', 'Richard Sutton', 'Doina Precup', 'Geoff Hinton', 'Andrew Blake', 'David Forsyth', 'Peter Dayan', 'Josh Tenenbaum', 'David Andre'
'Tong Zhang', 'Klaus Obermayer', 'Josh Tenenbaum', 'Daphne Koller', 'Thomas Hofmann', 'Andrew Moore', 'Tom Griffiths', 'Ben Taskar', 'Manfred Opper', 'Lehel Csato'
'Andrew McCallum', 'John Lafferty', 'Ramesh Gopinath', 'Satinder Singh', 'Geoff Hinton', 'Song Chun Zhu', 'David Andre', 'Daphne Koller', 'Richard Sutton', 'Doina Precup'
'Sally Goldman', 'Geoff Hinton', 'Amnon Shashua', 'Yishay Mansour', 'Mark Herbster', 'Dorin Comaniciu', 'Sebastian Thrun', 'John Shawe-Taylor', 'Mark Johnson', 'Michael Littman'
'Pietro Perona', 'Shimon Edelman', 'Nir Friedman', 'Mehryar Mohri', 'John Shawe-Taylor', 'Gary Cottrell', 'Sven Koenig', 'Corinna Cortes', 'Patrick Haffner', 'David Karger'
'David Forsyth', 'Klaus Obermayer', 'Christopher Meek', 'Bartlett Mel', 'Nir Friedman', 'Laurent Itti', 'Andrew Gelman', 'Charles Kemp', 'Pierre Baldi', 'Shimon Edelman'
'Gert Pfurtscheller', 'Karl Friston', 'Josh Tenenbaum', 'Mark Steyvers', 'John Lafferty', 'Michael Littman', 'Tom Griffiths', 'Juho Rousu', 'Boaz Nadler', 'Guy Lebanon'
'David Karger', 'Michael Littman', 'Dan Roth', 'Shin Ishii', 'Naftali Tishby', 'Ji Zhu', 'Sally Goldman', 'Daphne Koller', 'Yoram Singer', 'Alex Smola'
'David Karger', 'Daphne Koller', 'Nir Friedman', 'Geoff Hinton', 'Dan Roth', 'Michael Schmitt', 'Yishay Mansour', 'Gary Cottrell', 'Nicolo Cesa-Bianchi', 'Dale Schuurmans'
'Serge Belongie', 'Amnon Shashua', 'Aaron Hertzmann', 'Robert Collins', 'Hayit Greenspan', 'Peter Carbonetto', 'Song Chun Zhu', 'Jonas August', 'Pietro Perona', 'Bernhard Schoelkopf'
'Yosua Bengio', 'Klaus Obermayer', 'Ming-Hsuan Yang', 'Tommi Jaakkola', 'Serge Belongie', 'Nicolas Vayatis', 'Pierre Baldi', 'Yoram Singer', 'Guy Lebanon', 'Sebastian Thrun'
'David Karger', 'Daphne Koller', 'Dan Roth', 'Sridhar Mahadevan', 'Jean-Marc Odobez', 'Andrew Ng', 'Tommi Jaakkola', 'David Blei', 'Benjamin Van Roy', 'Sebastian Thrun'
'Shimon Edelman', 'Nathan Intrator', 'Michael Hasselmo', 'Peter Dayan', 'Tommi Jaakkola', 'Ramesh Gopinath', 'David Andre', 'Thomas Hofmann', 'Richard Sutton', 'Satinder Singh'
'Laurent Itti', 'Yoram Singer', 'David Heckerman', 'Christopher Meek', 'David Forsyth', 'Klaus Obermayer', 'David Karger', 'Bartlett Mel', 'Nir Friedman', 'Andrew McCallum'
'Nir Friedman', 'Dan Roth', 'Pietro Perona', 'Daphne Koller', 'Robert Schapire', 'Stan Li', 'Peter Dayan', 'Klaus Obermayer', 'Josh Tenenbaum', 'Yair Weiss'
'Dorin Comaniciu', 'Klaus Obermayer', 'Naftali Tishby', 'Shimon Edelman', 'Sebastian Thrun', 'Ralf Herbrich', 'Neil Lawrence', 'Mehryar Mohri', 'Amnon Shashua', 'Arnaud Doucet'
'Yoram Singer', 'Sebastian Thrun', 'Nir Friedman', 'Yosua Bengio', 'Terrence Sejnowski', 'Francis Bach', 'Kobus Barnard', 'Tommi Jaakkola', 'David Andre', 'Shimon Edelman'
'Geoff Hinton', 'Shimon Edelman', 'John Lafferty', 'Bernhard Schoelkopf', 'James Kwok', 'Zoubin Ghahramani', 'Klaus Obermayer', 'Naftali Tishby', 'Xiaojin Zhu', 'Ramesh Gopinath'
'Yishay Mansour', 'Peter Auer', 'Dan Roth', 'Robert Schapire', 'Nicolo Cesa-Bianchi', 'David Karger', 'Koby Crammer', 'Yair Weiss', 'Sally Goldman', 'Ramesh Gopinath'
'David Karger', 'Ralf Herbrich', 'Yosua Bengio', 'Dan Roth', 'Thore Graepel', 'Klaus Obermayer', 'Wray Buntine', 'Pierre Baldi', 'Daphne Koller', 'Robert Williamson'
'Sebastian Thrun', 'Geoffrey Gordon', 'David Karger', 'Benjamin Van Roy', 'David Forsyth', 'Nicholas Roy', 'Peter Dayan', 'Josh Tenenbaum', 'Daphne Koller', 'Yoram Singer'
'David Karger', 'Yoram Singer', 'Daphne Koller', 'Sebastian Thrun', 'Nir Friedman', 'Satinder Singh', 'Michael Littman', 'Andrew Moore', 'Brendan Frey', 'Peter Auer'
'Dan Roth', 'Andrew Moore', 'Yishay Mansour', 'Jeff Bilmes', 'Andrew Ng', 'Andrew Barto', 'Daphna Weinshall', 'David Karger', 'Daphne Koller', 'Benjamin Van Roy'
'David Karger', 'Yoram Singer', 'Robert Schapire', 'Sally Goldman', 'Daphne Koller', 'David Forsyth', 'Klaus Obermayer', 'Andrew Ng', 'Ralf Herbrich', 'Satinder Singh'
'Shimon Edelman', 'Ralf Herbrich', 'Amos Storkey', 'Thore Graepel', 'Gert Cauwenberghs', 'Nicolo Cesa-Bianchi', 'Joachim Buhmann', 'Shai Ben-David', 'David Andre', 'Daphne Koller'
